mer_ID,budget,"loc_list
"
128,331,"180
"
3712,100,"34
"
1409,100,"317
"
3201,100,"337
"
8577,100,"178
"
898,100,"348
"
9858,1735,"114
"
387,100,"337
"
2179,100,"272
"
3971,100,"364
"
5763,104,"88
"
7555,100,"377
"
9347,100,"246
"
1668,100,"215:326
"
3460,100,"450
"
2949,100,"407
"
4741,445,"262:216:33
"
6533,100,"239
"
8325,100,"34
"
646,100,"333
"
4230,100,"167
"
6022,100,"230
"
7814,132,"53:322:355
"
135,100,"189
"
5511,514,"63
"
7303,100,"60
"
9095,271,"56
"
1416,100,"13
"
3208,100,"208
"
5000,100,"404
"
8584,2680,"254
"
905,100,"57:60
"
2697,100,"63
"
8073,287,"125
"
9865,100,"23
"
394,100,"410
"
1675,100,"215
"
5259,100,"480
"
8843,100,"57
"
1164,100,"213
"
2956,100,"378
"
6540,947,"172
"
8332,100,"483
"
653,100,"445
"
4237,100,"46
"
142,328,"52:404
"
1934,356,"34
"
3726,100,"125
"
5518,100,"278
"
7310,100,"166
"
9102,100,"407
"
1423,100,"360
"
3215,100,"223
"
6799,100,"68
"
8591,100,"33
"
912,100,"306
"
2704,182,"161
"
401,100,"404
"
2193,100,"33
"
3985,100,"262
"
5777,441,"178
"
1682,100,"268
"
3474,100,"228
"
1171,100,"6
"
6547,100,"404
"
8339,100,"254
"
4244,100,"262
"
6036,100,"461
"
7828,100,"181
"
149,246,"441
"
1941,100,"263
"
3733,100,"149
"
5525,100,"132
"
7317,100,"123
"
1430,100,"6
"
3222,100,"1
"
5014,100,"330
"
6806,100,"50
"
4503,100,"445
"
8087,100,"404
"
9879,100,"104
"
408,100,"125
"
2200,297,"348
"
3992,100,"32
"
7576,100,"254
"
9368,100,"34
"
7065,100,"121
"
8857,100,"369
"
2970,631,"360
"
4762,100,"107
"
8346,100,"34
"
2459,277,"73
"
4251,100,"52
"
6043,100,"83
"
156,100,"6
"
1948,100,"333
"
3740,421,"272
"
9116,100,"6
"
1437,100,"135
"
3229,100,"172
"
5021,100,"349
"
6813,100,"421
"
8605,100,"6
"
2718,100,"490
"
6302,100,"348
"
8094,100,"190
"
415,100,"272
"
3999,100,"297
"
5791,100,"481
"
9375,100,"157
"
3488,100,"162
"
8864,100,"33
"
1185,100,"14
"
2977,100,"483
"
4769,100,"82
"
2466,1003,"190:146:83
"
4258,100,"178
"
163,100,"296
"
1955,100,"456
"
3747,100,"326
"
5539,100,"445
"
9123,782,"172
"
5028,100,"382
"
6820,1398,"480:84
"
8612,100,"73
"
4517,100,"271
"
422,100,"55
"
4006,100,"324
"
5798,100,"57
"
7590,100,"313:121
"
9382,100,"172
"
3495,100,"213
"
7079,714,"75
"
1192,100,"104
"
2984,100,"197
"
4776,100,"55
"
6568,100,"322
"
681,100,"75
"
2473,100,"89
"
4265,100,"360
"
7849,100,"75
"
9641,100,"61
"
170,100,"461
"
5546,100,"378
"
7338,100,"20
"
9130,100,"182
"
3243,100,"362
"
5035,100,"262
"
6827,100,"197
"
8619,100,"461
"
940,100,"11
"
2732,100,"364
"
4524,100,"223
"
6316,100,"104
"
9900,131,"146
"
429,638,"404
"
5805,100,"2
"
7597,100,"33
"
1710,686,"446
"
5294,170,"183:163:88
"
7086,100,"88
"
8878,100,"155
"
2991,100,"88
"
6575,100,"17
"
8367,100,"91
"
688,100,"214
"
2480,100,"338
"
6064,100,"157
"
7856,100,"288
"
177,100,"11
"
1969,100,"149
"
3761,100,"366
"
5553,100,"461
"
9137,100,"82
"
5042,100,"348
"
6834,100,"349
"
947,100,"410
"
2739,100,"212:274:483
"
4531,100,"172
"
8115,100,"123
"
436,100,"346
"
2228,100,"390
"
5812,100,"265
"
7604,100,"378
"
8885,100,"319
"
1206,100,"155
"
2998,100,"105
"
6582,100,"461
"
8374,831,"132
"
695,100,"197
"
9655,100,"410
"
184,100,"82
"
1976,100,"197
"
3768,100,"354
"
5560,100,"349
"
7352,100,"17
"
9144,100,"272
"
3257,100,"380
"
5049,619,"11
"
6841,100,"477
"
954,100,"360
"
2746,100,"49
"
6330,472,"178
"
8122,100,"32
"
443,100,"67
"
4027,100,"216
"
5819,964,"326:13
"
7611,100,"445
"
9403,100,"197
"
1724,100,"32
"
3516,100,"173
"
5308,100,"288
"
7100,292,"455:129:339
"
6589,100,"6
"
8381,100,"201
"
4286,100,"428
"
6078,100,"100
"
191,100,"78
"
3775,10063,"186
"
5567,100,"57
"
7359,100,"114
"
9151,100,"480:446
"
8640,100,"111
"
961,100,"83
"
2753,100,"63
"
6337,100,"147
"
8129,100,"354
"
9921,100,"461
"
450,100,"86
"
4034,100,"162
"
7618,100,"289
"
9410,100,"372
"
1731,100,"20
"
3523,100,"495
"
5315,193,"33:262
"
7107,100,"220
"
1220,100,"337
"
8388,100,"34
"
709,100,"60
"
2501,100,"474
"
6085,100,"215
"
198,725,"330
"
1990,358,"300
"
3782,100,"76
"
7366,100,"481
"
1479,100,"125
"
3271,100,"63
"
5063,100,"6
"
8647,100,"181:250
"
2760,100,"272
"
6344,1041,"164:430:4
"
9928,100,"480
"
457,100,"360
"
2249,100,"162
"
4041,100,"187
"
5833,100,"438
"
1738,199,"360
"
7114,100,"372
"
8906,100,"352
"
4811,100,"214
"
6603,100,"130
"
716,100,"88
"
6092,100,"6
"
7884,100,"296
"
9676,100,"458
"
205,100,"166
"
1997,100,"315
"
9165,416,"132
"
1486,100,"30
"
3278,100,"372
"
6862,100,"114:217
"
2767,100,"119
"
4559,100,"138
"
6351,100,"379
"
9935,100,"270
"
464,384,"461
"
4048,100,"239
"
3537,100,"6
"
7121,100,"393
"
3026,1948,"188:129
"
6610,100,"278
"
8402,100,"448
"
2515,100,"245
"
4307,100,"468
"
7891,100,"67
"
9683,100,"63
"
212,173,"339
"
2004,100,"481
"
3796,100,"172
"
7380,100,"40
"
9172,100,"32
"
3285,100,"461
"
5077,100,"6
"
8661,100,"490
"
982,682,"133
"
2774,100,"172
"
4566,676,"6
"
6358,100,"23
"
8150,100,"192
"
9942,100,"358
"
471,824,"114
"
4055,100,"199
"
5847,100,"162
"
9431,100,"439
"
3544,565,"12:446
"
8920,100,"283
"
1241,100,"30
"
3033,100,"358
"
4825,100,"162
"
6617,375,"470
"
2522,100,"480
"
4314,100,"132
"
219,505,"348:146
"
2011,100,"284
"
7387,100,"91
"
9179,100,"105
"
5084,100,"317
"
6876,100,"368
"
8668,100,"481
"
989,100,"178
"
2781,100,"6
"
4573,100,"489
"
9949,100,"430
"
478,2277,"480
"
2270,100,"155
"
4062,316,"50:82
"
7646,100,"159
"
3551,100,"349
"
7135,100,"34
"
8927,100,"441
"
1248,100,"88
"
3040,100,"272
"
4832,100,"430
"
6624,100,"132
"
4321,100,"172
"
6113,100,"355
"
7905,100,"99
"
9697,100,"372
"
2018,100,"296
"
5602,100,"340
"
9186,100,"302
"
8675,240,"437
"
996,100,"463
"
2788,100,"88
"
4580,100,"8
"
6372,100,"461
"
8164,100,"274
"
485,100,"272
"
4069,100,"300
"
3558,100,"214
"
5350,100,"178
"
7142,100,"167
"
3047,100,"24
"
8423,100,"355
"
744,163,"107
"
9704,100,"360
"
233,100,"216
"
5609,100,"106
"
9193,100,"216
"
1514,994,"188:129
"
6890,100,"345
"
1003,100,"339
"
2795,100,"456
"
6379,100,"421
"
9963,100,"368
"
492,100,"52
"
2284,100,"262
"
4076,100,"84
"
5868,100,"23
"
7660,100,"40
"
1773,100,"337
"
3565,100,"207
"
5357,1960,"188
"
7149,100,"28
"
1262,100,"6
"
4846,100,"216
"
8430,100,"174
"
751,100,"405
"
2543,100,"40
"
4335,100,"11
"
9711,100,"9
"
240,758,"82
"
2032,100,"272
"
3824,2535,"482:287
"
5616,100,"6
"
9200,100,"323
"
1521,100,"146
"
3313,100,"125
"
5105,100,"461
"
6897,100,"280
"
1010,100,"404
"
2802,100,"461
"
6386,100,"410
"
9970,100,"329
"
499,100,"102
"
2291,100,"6
"
5875,100,"376
"
7667,6400,"52:155:437:188:446:129:138:402:441:480
"
1780,622,"441
"
3572,100,"84
"
5364,100,"11
"
8948,100,"272
"
1269,100,"38
"
3061,100,"445
"
4853,100,"490
"
6645,100,"333
"
8437,100,"190:337:346:213:60:78:348:125
"
758,100,"178
"
4342,1685,"188:339
"
7926,100,"132
"
9718,100,"461
"
247,100,"349
"
3831,100,"30
"
5623,100,"159
"
9207,100,"17
"
1528,100,"125
"
3320,100,"327
"
6904,100,"83
"
8696,1319,"76
"
4601,439,"461
"
8185,100,"438
"
9977,100,"416
"
506,100,"335
"
2298,100,"287
"
4090,2706,"130
"
5882,100,"438
"
3579,100,"228
"
8955,100,"172
"
3068,166,"326
"
6652,100,"382
"
2557,100,"178
"
4349,100,"60
"
7933,100,"326
"
9725,100,"287
"
254,100,"262
"
2046,100,"55
"
3838,100,"457
"
7422,100,"188
"
1535,100,"474
"
3327,100,"214
"
6911,100,"254
"
1024,100,"456
"
2816,100,"162
"
6400,100,"6
"
9984,100,"6
"
513,556,"480
"
5889,398,"157
"
2,734,"441
"
1794,100,"480
"
5378,100,"44
"
7170,100,"410:177
"
8962,174,"352
"
1283,100,"33
"
8451,100,"6
"
772,100,"378
"
2564,100,"378
"
4356,537,"272
"
7940,100,"91
"
9732,100,"359
"
261,100,"262
"
2053,100,"138
"
3845,100,"95
"
9221,100,"178
"
1542,100,"335
"
3334,100,"221
"
5126,100,"124
"
6918,100,"372
"
8199,100,"353
"
520,100,"360
"
2312,100,"349
"
7688,100,"378
"
9480,100,"4
"
1801,363,"190
"
3593,100,"348
"
5385,100,"107
"
8969,100,"56
"
6666,598,"32
"
8458,100,"462
"
6155,100,"414
"
7947,100,"169
"
268,100,"92
"
2060,100,"132
"
5644,649,"75
"
7436,100,"378
"
9228,100,"481
"
5133,100,"416
"
1038,100,"416
"
4622,100,"339
"
6414,669,"63
"
8206,100,"307
"
527,100,"125
"
4111,100,"349
"
7695,100,"245
"
9487,100,"178
"
16,100,"340
"
1808,100,"213
"
3600,798,"115
"
5392,291,"308
"
7184,6369,"164:440:245:341:378:277:52:349:355
"
1297,100,"68
"
786,100,"6
"
6162,100,"34
"
7954,100,"340
"
9746,115,"186
"
275,100,"62
"
2067,100,"461
"
5651,129,"216
"
9235,100,"388
"
1556,316,"2
"
5140,100,"410
"
1045,100,"34
"
4629,1611,"192
"
6421,100,"8
"
8213,100,"429
"
534,100,"249
"
2326,147,"280:115
"
4118,100,"23
"
1815,100,"34
"
3607,100,"69
"
5399,305,"253
"
8983,100,"348
"
3096,100,"360
"
8472,2067,"129:84
"
793,100,"307
"
6169,100,"404
"
282,727,"155
"
2074,100,"421
"
3866,100,"30
"
7450,100,"88
"
9242,100,"6
"
3355,100,"57
"
5147,100,"162
"
8731,100,"91
"
1052,100,"58
"
8220,100,"127
"
541,100,"349
"
2333,100,"438
"
5917,548,"348:49:91:125
"
7709,100,"44
"
30,198,"78
"
1822,100,"162
"
3614,100,"215
"
5406,100,"52
"
4895,296,"6
"
8479,2744,"146:410:182:254:130:37:249:60:324:330:348:360
"
800,100,"446
"
4384,100,"162
"
6176,100,"273
"
9760,100,"159
"
289,397,"340
"
2081,100,"471
"
3873,100,"6
"
7457,950,"84
"
1570,100,"138
"
5154,100,"429
"
1059,100,"138
"
6435,100,"213
"
8227,100,"88
"
548,100,"129
"
2340,153,"188:362
"
7716,100,"227
"
9508,433,"249
"
37,100,"138
"
1829,100,"85
"
3621,100,"209:44
"
8997,100,"21
"
1318,100,"197
"
4902,257,"388
"
8486,100,"471
"
807,100,"324
"
2599,100,"99
"
4391,470,"125
"
6183,100,"262
"
9767,100,"28
"
3880,100,"88
"
7464,100,"67
"
1577,100,"360
"
3369,100,"96
"
5161,100,"28
"
1066,100,"121
"
4650,100,"115
"
555,100,"348
"
2347,100,"95
"
4139,100,"17
"
44,100,"348
"
1836,100,"382
"
7212,100,"89
"
1325,100,"324
"
6701,100,"155
"
8493,100,"107
"
814,100,"400
"
2606,8968,"128:143:410:449:197:476:2:272:278:287:305:62:74:332:83:101:368:113:119:125:383:132:144:147:150:441:204:222:483:249:6:264:15:51:57:60:333:78:81:90:102:114:381:130:136:142:160:172:190:193:451:202:217:268:25:49:55:313:58:67:91:355:121
"
4398,100,"44
"
6190,100,"184
"
7982,100,"322
"
9774,609,"262:76
"
303,100,"368
"
2095,100,"294
"
5679,100,"453
"
1584,100,"356
"
3376,100,"338
"
5168,100,"372
"
6960,100,"372
"
1073,100,"360
"
8241,799,"346
"
562,154,"129
"
2354,100,"47
"
7730,100,"88
"
9522,100,"138
"
51,100,"63
"
5427,495,"461
"
9011,100,"340
"
1332,100,"59
"
3124,100,"40:404
"
8500,812,"91
"
821,100,"277
"
2613,100,"360
"
4405,100,"377
"
310,100,"402
"
2102,100,"351
"
3894,100,"189
"
7478,100,"88
"
9270,100,"88
"
1591,100,"438
"
6967,100,"97
"
1080,100,"348
"
2872,225,"480
"
6456,100,"267
"
8248,160,"346
"
569,5034,"129:480:339:84:188:455:44
"
2361,100,"333
"
7737,100,"454
"
9529,100,"58
"
58,1555,"360
"
3642,100,"83
"
5434,100,"115
"
7226,100,"69
"
1339,100,"227
"
3131,648,"437:446:455:44:129:84
"
6715,100,"369
"
8507,100,"454
"
828,100,"214
"
6204,100,"6
"
9788,100,"162
"
317,100,"8
"
3901,100,"91
"
9277,100,"348
"
1598,100,"420
"
3390,1956,"254:6:348
"
1087,100,"262
"
6463,100,"33
"
8255,100,"238
"
576,445,"474
"
2368,100,"348
"
9536,100,"262
"
65,100,"146
"
7233,100,"49
"
4930,100,"172
"
835,100,"194
"
2627,100,"345
"
324,100,"272
"
2116,100,"108
"
3908,100,"284
"
5700,100,"152:468
"
9284,100,"151
"
1605,100,"138
"
3397,100,"40
"
1094,100,"159
"
2886,2020,"186:253
"
583,100,"253
"
4167,100,"220
"
5959,100,"455
"
7751,100,"345
"
9543,100,"88
"
72,100,"402
"
1864,100,"438
"
3656,100,"52
"
5448,100,"340
"
7240,100,"360
"
1353,100,"490
"
4937,100,"272
"
6729,100,"120
"
842,100,"355
"
2634,100,"429
"
6218,100,"83
"
9802,100,"60
"
331,100,"33
"
3915,100,"162
"
5707,100,"265
"
7499,100,"6
"
1612,100,"279
"
5196,487,"239
"
1101,100,"397
"
6477,100,"159
"
590,100,"372
"
2382,100,"327
"
4174,100,"360
"
5966,100,"474
"
79,211,"84
"
1871,100,"162
"
5455,100,"104
"
1360,100,"228
"
3152,100,"307
"
4944,100,"138
"
8528,100,"124
"
849,294,"88
"
2641,11254,"40:52:402:441:114:245:95:383
"
4433,100,"348
"
9809,100,"104
"
338,1496,"146:197:60:348:91
"
2130,100,"152
"
5714,207,"138
"
7506,257,"490
"
9298,100,"167
"
1619,100,"445
"
3411,100,"178
"
6995,100,"130
"
8787,1054,"441
"
1108,100,"34
"
2900,100,"369
"
4692,100,"366
"
6484,100,"336:265
"
597,578,"49
"
2389,100,"78
"
5973,100,"165
"
7765,100,"57
"
9557,100,"17
"
86,100,"91
"
1878,100,"404
"
1367,100,"157
"
4951,100,"56
"
6743,813,"360
"
8535,100,"216
"
856,100,"17
"
2648,100,"82
"
6232,100,"91
"
8024,100,"195
"
9816,100,"6
"
345,275,"178
"
2137,100,"360:369
"
5721,100,"327
"
7513,100,"178
"
9305,100,"445
"
3418,477,"82
"
5210,100,"82
"
8794,100,"358
"
2907,100,"360
"
8283,100,"48
"
604,100,"461
"
2396,100,"97
"
4188,100,"330
"
5980,100,"275
"
9564,100,"52
"
93,251,"404
"
3677,100,"32
"
5469,526,"84
"
7261,100,"254
"
3166,100,"378
"
4958,100,"137
"
2655,100,"227
"
9823,100,"159
"
352,100,"75
"
5728,100,"85
"
1633,100,"197
"
5217,100,"345
"
7009,100,"384
"
2914,450,"32
"
4706,100,"123
"
8290,100,"33
"
611,686,"115
"
4195,100,"162
"
7779,100,"33
"
9571,100,"6
"
100,100,"43
"
1892,100,"277
"
5476,100,"241
"
9060,100,"366
"
1381,100,"40
"
3173,153,"272
"
6757,100,"76
"
8549,100,"40
"
870,100,"410
"
2662,100,"34
"
4454,100,"369
"
6246,100,"60
"
8038,100,"301
"
9830,100,"52
"
359,640,"88
"
2151,100,"423
"
5735,100,"337
"
7527,100,"360
"
1640,100,"216
"
5224,100,"435
"
8808,100,"490
"
1129,100,"155
"
2921,100,"481
"
4713,100,"480
"
6505,100,"189
"
618,298,"132
"
4202,100,"204
"
5994,100,"369
"
7786,100,"410
"
1899,100,"295
"
3691,100,"49
"
9067,432,"216
"
3180,100,"88
"
4972,654,"138
"
8556,100,"272
"
877,100,"338
"
2669,100,"14
"
9837,100,"481
"
366,100,"162
"
2158,100,"383
"
3950,100,"167
"
5742,100,"224
"
7534,100,"89
"
9326,100,"346
"
1647,100,"360
"
5231,7721,"146:188:197:461:254:17:308:326:77:371:183:189:246:6:27:42:57:60:63:69:348:163:172:199:490:265:19:337:88:91:112
"
8815,100,"322
"
1136,775,"44
"
4720,100,"348
"
8304,100,"273
"
625,1832,"130:337:254
"
4209,100,"457
"
7793,100,"15
"
114,100,"324
"
1906,100,"324
"
3698,100,"105
"
5490,100,"360
"
7282,100,"272
"
9074,100,"378
"
3187,100,"32
"
8563,100,"333
"
2676,100,"114
"
8052,100,"158
"
9844,463,"360:272
"
373,100,"322
"
5749,100,"459
"
1654,100,"60
"
5238,100,"360
"
8822,100,"327
"
1143,100,"93
"
2935,100,"272
"
4727,100,"60
"
6519,100,"34
"
632,100,"6
"
2424,100,"79
"
4216,100,"59
"
6008,100,"325
"
9592,100,"138
"
121,100,"355
"
1913,100,"214
"
5497,100,"337
"
7289,100,"372
"
1402,100,"66
"
3194,100,"76
"
4986,100,"342
"
8570,100,"56
"
891,100,"82
"
6267,100,"115
"
9851,100,"30
"
380,1028,"480
"
2172,100,"360
"
7548,100,"345
"
1661,100,"102:410
"
3453,100,"296
"
8829,100,"327
"
1150,100,"358
"
2942,100,"448
"
4734,100,"88
"
6526,100,"359
"
8318,100,"298
"
639,252,"404
"
2431,100,"172
"
4223,100,"115
"
640,100,"172
"
6016,100,"448
"
7808,100,"356
"
129,100,"102
"
1921,100,"159
"
3713,100,"172
"
9089,100,"378
"
1410,1129,"152:253
"
4994,100,"32
"
6786,558,"340
"
899,499,"140
"
4483,417,"461:112
"
9859,100,"132
"
388,100,"126
"
2180,100,"262
"
9348,100,"272
"
1669,100,"360
"
3461,100,"308
"
5253,100,"138
"
8837,5297,"480:410:188:308
"
1158,100,"155
"
2950,100,"448
"
4742,100,"123
"
6534,3708,"20:82
"
8326,100,"171
"
4231,100,"88
"
7815,1068,"155:44
"
136,1582,"360:272
"
5512,100,"438
"
1417,100,"152
"
5001,100,"372
"
8585,100,"44
"
4490,100,"263
"
9866,100,"52
"
395,100,"86
"
3979,2342,"355
"
5771,100,"230
"
9355,100,"162
"
1676,100,"152
"
7052,100,"214
"
8844,100,"296
"
2957,100,"214
"
4749,100,"378
"
6541,100,"80
"
8333,100,"352:30
"
654,100,"330
"
2446,100,"6
"
4238,476,"340
"
7822,100,"253
"
143,100,"457
"
3727,100,"423
"
9103,100,"216
"
1424,100,"402
"
3216,100,"216
"
6800,100,"31
"
8592,100,"6
"
913,100,"88
"
2705,100,"191
"
4497,100,"82
"
6289,100,"190
"
8081,100,"86
"
9873,100,"32
"
402,312,"52
"
3986,100,"426
"
5778,100,"318
"
7570,100,"345
"
9362,384,"214
"
1683,100,"32
"
3475,100,"416
"
8851,100,"82
"
2964,100,"34
"
4756,3049,"17
"
8340,100,"2
"
661,100,"272
"
2453,100,"349
"
4245,100,"245
"
6037,100,"471
"
7829,100,"385
"
9621,100,"300
"
150,100,"76
"
1942,100,"17
"
5526,100,"125
"
9110,100,"393
"
4504,100,"455
"
9880,100,"34
"
409,100,"272
"
2201,100,"211
"
3993,100,"172
"
5785,100,"56
"
7577,1482,"192
"
1690,100,"405
"
3482,100,"88
"
7066,100,"162
"
8858,444,"6
"
1179,100,"15
"
2971,316,"178
"
6555,166,"34
"
8347,100,"322
"
2460,100,"88
"
4252,100,"99
"
6044,3087,"186:468:366:152:161:448:253
"
7836,100,"378
"
9628,100,"172
"
3741,100,"6
"
5533,100,"372
"
3230,100,"272
"
5022,100,"45
"
8606,100,"44
"
927,100,"449
"
4511,454,"378
"
6303,100,"217
"
8095,100,"337
"
416,100,"341
"
2208,100,"83
"
4000,100,"114
"
5792,100,"178
"
7584,100,"34
"
9376,293,"106
"
7073,100,"246
"
8865,100,"155
"
1186,100,"63
"
4770,100,"267
"
2467,659,"442
"
9635,100,"389
"
164,100,"52
"
3748,1256,"163:308
"
5540,100,"372
"
3237,100,"55
"
5029,100,"83
"
6821,100,"76
"
934,100,"162
"
2726,478,"31
"
6310,100,"80
"
8102,100,"257
"
9894,100,"318
"
423,100,"132
"
2215,100,"44
"
4007,141,"132
"
5799,100,"372
"
7591,100,"457
"
9383,100,"124
"
3496,100,"313
"
7080,100,"197
"
8872,458,"378
"
2985,100,"322
"
4777,100,"410
"
8361,100,"172
"
4266,100,"263
"
9642,100,"123
"
171,5439,"6
"
1963,100,"162
"
7339,312,"410
"
9131,100,"124
"
1452,100,"347
"
3244,100,"224
"
6828,100,"130
"
941,100,"340
"
2733,100,"32
"
9901,100,"333
"
430,100,"209
"
4014,100,"82
"
7598,100,"40
"
1711,100,"250
"
5295,100,"327
"
8879,2014,"333:93:82
"
4784,100,"313
"
6576,100,"151
"
689,100,"216
"
2481,100,"428
"
4273,100,"318
"
6065,100,"80
"
7857,100,"121
"
9649,100,"216
"
178,5278,"84:163:188:17:308
"
1970,100,"178
"
3762,100,"63
"
5554,100,"333
"
9138,100,"490
"
1459,100,"383
"
3251,100,"203
"
948,100,"368
"
6324,452,"410
"
8116,100,"339
"
437,100,"172
"
2229,100,"407
"
4021,100,"454
"
5813,100,"93
"
9397,100,"355
"
3510,100,"25
"
2999,100,"60
"
4791,100,"213
"
6583,100,"75
"
8375,100,"278
"
696,100,"272
"
2488,100,"178
"
4280,420,"335
"
6072,100,"82
"
7864,100,"60
"
185,100,"63
"
3769,100,"245
"
5561,100,"378
"
9145,100,"437
"
1466,100,"272
"
3258,100,"216
"
5050,1446,"60
"
8634,799,"272
"
955,516,"211
"
2747,100,"159
"
4539,100,"49
"
6331,100,"410
"
444,100,"402
"
2236,100,"367
"
4028,100,"330
"
5820,100,"167
"
9404,100,"343
"
1725,100,"461
"
7101,100,"83
"
1214,100,"220
"
3006,100,"162
"
4798,100,"34
"
6590,100,"322
"
8382,100,"61
"
6079,100,"327
"
9663,100,"272
"
192,248,"322
"
3776,100,"56
"
1473,100,"330
"
3265,100,"378
"
5057,100,"89
"
962,100,"254
"
4546,100,"136
"
6338,335,"360
"
9922,100,"114
"
451,100,"214
"
4035,100,"10
"
5827,117,"423
"
7619,100,"337
"
9411,100,"88
"
1732,100,"410
"
3524,100,"88
"
3013,100,"346
"
4805,433,"106
"
8389,100,"429
"
2502,100,"277
"
6086,100,"349
"
7878,100,"421
"
199,100,"404
"
5575,100,"360
"
7367,100,"44
"
5064,100,"98
"
6856,100,"44
"
8648,148,"245
"
969,100,"61
"
2761,100,"360
"
6345,2273,"346:91:146:83:57:60:330:78:348
"
8137,100,"341
"
9929,360,"308
"
458,100,"33
"
7626,100,"272
"
9418,100,"216
"
1739,100,"448
"
3531,100,"214
"
5323,100,"457
"
8907,100,"381
"
6604,100,"262
"
8396,100,"132
"
717,100,"360
"
2509,100,"172
"
6093,100,"435
"
7885,100,"372
"
9677,100,"245
"
206,100,"372
"
1998,100,"140
"
3790,100,"91
"
5582,100,"474
"
7374,100,"482
"
1487,100,"162
"
3279,100,"108
"
6863,364,"467:305:172:382
"
976,100,"216
"
2768,100,"167
"
4560,100,"263
"
6352,100,"63
"
8144,307,"262
"
9936,100,"220
"
465,100,"340
"
2257,100,"457
"
4049,100,"11:32:468
"
5841,2215,"82:20:333
"
7633,100,"192
"
9425,100,"34
"
1746,100,"358
"
3538,100,"84
"
8914,100,"120
"
1235,100,"369
"
6611,100,"308
"
8403,100,"34
"
724,100,"73
"
4308,100,"358
"
